车列表名称,车列表参数,车型理解,车列表,sysSessionId,模型1返回结果,input,output,output标准答案,模型2返回结果,模型2标准答案,模型1三大项标注,模型1最快打车意图标注,app字段准确性,category，mode车型字段准确性,"price，price_min, price_max价格字段准确性",fast最快打车意图字段准确性,模型2准确率,模型2召回率,
,,佛山顺德到广州白云机场，要求用特价拼车,滴滴车列表,sessionId20250624lhx1068,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n佛山顺德到广州白云机场，要求用特价拼车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""佛山顺德到广州白云机场，要求用特价拼车\""}""}]","```json
[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['4'],"['1', '4']",1,1,1,1,1,1,1,0.5,
,,东莞长安镇到松山湖见供应商，指定曹操出行车型的车,滴滴车列表,sessionId20250624lhx1069,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n东莞长安镇到松山湖见供应商，指定曹操出行车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""东莞长安镇到松山湖见供应商，指定曹操出行车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""曹操出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""曹操出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['9'],['9'],1,1,1,1,1,1,1,1,
,,沈阳奥体中心到抚顺送货，系统优先派了滴滴特快,滴滴车列表,sessionId20250624lhx1070,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n沈阳奥体中心到抚顺送货，系统优先派了滴滴特快\n\n"",""exts"":""{\""userHistoryInputContent\"":\""沈阳奥体中心到抚顺送货，系统优先派了滴滴特快\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""特快"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""滴滴"", ""category"": ""特快"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['11'],"['2','3', '7', '10', '11','13']",1,1,1,1,1,0,1,0.17,
,,济南千佛山到泰山团建，六座专车正好装下登山装备,滴滴车列表,sessionId20250624lhx1071,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n济南千佛山到泰山团建，六座专车正好装下登山装备\n\n"",""exts"":""{\""userHistoryInputContent\"":\""济南千佛山到泰山团建，六座专车正好装下登山装备\""}""}]","```json
[{""app"": ""无"", ""category"": ""六座专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""六座专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['16'],['16'],1,1,1,1,1,1,1,1,
,,福州平潭到霞浦拍摄，器材运输必须用出租车运送,滴滴车列表,sessionId20250624lhx1072,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n福州平潭到霞浦拍摄，器材运输必须用出租车运送\n\n"",""exts"":""{\""userHistoryInputContent\"":\""福州平潭到霞浦拍摄，器材运输必须用出租车运送\""}""}]","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['10', '12']","['10', '12']",1,1,1,1,1,1,1,1,
,,合肥三河古镇到黄山写生，直接打滴滴包车,滴滴车列表,sessionId20250624lhx1073,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n合肥三河古镇到黄山写生，直接打滴滴包车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""合肥三河古镇到黄山写生，直接打滴滴包车\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""包车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""包车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['19'],['19'],1,1,1,1,1,1,1,1,
,,昆明翠湖到西山调研，老教授坚持要打计价透明的出租车,滴滴车列表,sessionId20250624lhx1074,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n昆明翠湖到西山调研，老教授坚持要打计价透明的出租车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""昆明翠湖到西山调研，老教授坚持要打计价透明的出租车\""}""}]","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['10', '12']","['10','12']",1,1,1,1,1,1,1,1,
,,南宁中山路到德天瀑布考察，合作方指定要滴滴豪华车,滴滴车列表,sessionId20250624lhx1075,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n南宁中山路到德天瀑布考察，合作方指定要滴滴豪华车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""南宁中山路到德天瀑布考察，合作方指定要滴滴豪华车\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""豪华车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""豪华车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['15'],['15'],1,1,1,1,1,1,1,1,
,,北京天安门到慕田峪长城拍摄，剧组需要城际拼车运器材,滴滴车列表,sessionId20250624lhx1076,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n北京天安门到慕田峪长城拍摄，剧组需要城际拼车运器材\n\n"",""exts"":""{\""userHistoryInputContent\"":\""北京天安门到慕田峪长城拍摄，剧组需要城际拼车运器材\""}""}]","```json
[{""app"": ""无"", ""category"": ""城际拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""城际拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['24'],"['1', '4', '5', '24']",1,1,1,1,1,1,1,0.25,
,,凌晨从上海崇明岛到浦东机场，需要特惠快车接单,滴滴车列表,sessionId20250624lhx1077,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n凌晨从上海崇明岛到浦东机场，需要特惠快车接单\n\n"",""exts"":""{\""userHistoryInputContent\"":\""凌晨从上海崇明岛到浦东机场，需要特惠快车接单\""}""}]","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['2', '7']","['2','7']",1,1,1,1,1,1,1,1,
,,广州白云机场到珠海长隆团建，打六座专车，需要装五个行李箱,滴滴车列表,sessionId20250624lhx1078,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n广州白云机场到珠海长隆团建，打六座专车，需要装五个行李箱\n\n"",""exts"":""{\""userHistoryInputContent\"":\""广州白云机场到珠海长隆团建，打六座专车，需要装五个行李箱\""}""}]","```json
[{""app"": ""无"", ""category"": ""六座专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""六座专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['16'],['16'],1,1,1,1,1,1,1,1,
,,深圳大鹏半岛到香港关口，打个特快出租车，司机可能更熟悉通关流程,滴滴车列表,sessionId20250624lhx1079,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n深圳大鹏半岛到香港关口，打个特快出租车，司机可能更熟悉通关流程\n\n"",""exts"":""{\""userHistoryInputContent\"":\""深圳大鹏半岛到香港关口，打个特快出租车，司机可能更熟悉通关流程\""}""}]","```json
[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['10', '12']","['10', '12']",1,1,1,1,1,1,1,1,
,,成都都江堰到乐山大佛连续踩点，叫一辆滴滴包车，跟着项目组三天,滴滴车列表,sessionId20250624lhx1080,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n成都都江堰到乐山大佛连续踩点，叫一辆滴滴包车，跟着项目组三天\n\n"",""exts"":""{\""userHistoryInputContent\"":\""成都都江堰到乐山大佛连续踩点，叫一辆滴滴包车，跟着项目组三天\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""包车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""包车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['19'],['19'],1,1,1,1,1,1,1,1,
,,杭州千岛湖到乌镇行业峰会，安排一辆曹操出行车型,滴滴车列表,sessionId20250624lhx1081,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n杭州千岛湖到乌镇行业峰会，安排一辆曹操出行车型\n\n"",""exts"":""{\""userHistoryInputContent\"":\""杭州千岛湖到乌镇行业峰会，安排一辆曹操出行车型\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""曹操出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""曹操出行"", ""category"": ""无"", ""mode"": ""曹操出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['9'],['9'],1,1,0,1,1,1,1,1,
,,南京牛首山到扬州瘦西湖交流，叫一辆“花小猪正价版”车型的车，被财务部点赞,滴滴车列表,sessionId20250624lhx1082,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n南京牛首山到扬州瘦西湖交流，叫一辆“花小猪正价版”车型的车，被财务部点赞\n\n"",""exts"":""{\""userHistoryInputContent\"":\""南京牛首山到扬州瘦西湖交流，叫一辆“花小猪正价版”车型的车，被财务部点赞\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""花小猪正价版"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""花小猪"", ""category"": ""无"", ""mode"": ""正价版"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['8', '27']","['8','27']",1,1,0,1,1,1,1,1,
,,重庆武隆到酉阳桃花源勘景，滴滴专车就行,滴滴车列表,sessionId20250624lhx1083,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n重庆武隆到酉阳桃花源勘景，滴滴专车就行\n\n"",""exts"":""{\""userHistoryInputContent\"":\""重庆武隆到酉阳桃花源勘景，滴滴专车就行\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""专车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['14', '16', '28']","['14', '16', '28']",1,1,1,1,1,1,1,1,
,,西安兵马俑到华山团建，基于行政的要求，打惊喜特价车型吧,滴滴车列表,sessionId20250624lhx1084,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n西安兵马俑到华山团建，基于行政的要求，打惊喜特价车型吧\n\n"",""exts"":""{\""userHistoryInputContent\"":\""西安兵马俑到华山团建，基于行政的要求，打惊喜特价车型吧\""}""}]","```json
[{""app"": ""无"", ""category"": ""惊喜特价车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""惊喜特价车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['22', '29']","['2','4','6','7','22','29']",1,1,1,1,1,1,1,0.33,
,,武汉木兰草原团建完，叫一辆极速拼车赶回黄鹤楼开会,滴滴车列表,sessionId20250624lhx1085,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n武汉木兰草原团建完，叫一辆极速拼车赶回黄鹤楼开会\n\n"",""exts"":""{\""userHistoryInputContent\"":\""武汉木兰草原团建完，叫一辆极速拼车赶回黄鹤楼开会\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""极速拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '5']","['1', '4', '5']",1,1,1,1,1,1,1,0.67,
,,长沙张家界到凤凰古城踩线，六座专车的越野性能派上用场,滴滴车列表,sessionId20250624lhx1086,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n长沙张家界到凤凰古城踩线，六座专车的越野性能派上用场\n\n"",""exts"":""{\""userHistoryInputContent\"":\""长沙张家界到凤凰古城踩线，六座专车的越野性能派上用场\""}""}]","```json
[{""app"": ""无"", ""category"": ""六座专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""六座专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['16'],['16'],1,1,1,1,1,1,1,1,
,,苏州周庄到无锡灵山行业论坛，特价拼车正好凑满三人,滴滴车列表,sessionId20250624lhx1087,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n苏州周庄到无锡灵山行业论坛，特价拼车正好凑满三人\n\n"",""exts"":""{\""userHistoryInputContent\"":\""苏州周庄到无锡灵山行业论坛，特价拼车正好凑满三人\""}""}]","```json
[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['4'],"['1', '4']",1,1,1,1,1,1,1,0.5,
