query,车辆候选列表,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,think_time,问题,备注,标注人,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,_vehicle_pairs,_history,_query,_gt_category,_gt_mode,_gt_full_match
用高德打个聚优出租去创新大厦，价格不超过80元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|22|高德地图|优享型|中交出行|77|
|23|高德地图|优享型|腾飞出行|77|
|24|高德地图|优享型|曹操出行|77|
|25|高德地图|优享型|火箭出行|77|
|26|高德地图|优享型|及时用车|78|
|27|高德地图|优享型|享道出行|78|
|28|高德地图|优享型|旗妙出行|78|
|29|高德地图|优享型|飞嘀打车|79|
|30|高德地图|优享型|神州专车|79|
|31|高德地图|优享型|斑马快跑|79|
|32|高德地图|优享型|AA出行|80|
|33|高德地图|优享型|全民GO|80|
|34|高德地图|优享型|首汽约车|81|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|88|
|36|高德地图|品质专车|静音不打扰 整洁无异味|96|
|37|高德地图|六座商务|宽敞空间 商务体验|107|
|38|高德地图|豪华型|车型高端 服务专业|114|
|39|高德地图|经济|首汽约车|129|
|40|高德地图|拼车|特惠快车|143|
|41|高德地图|特价出发|更多特价|156|
|42|高德地图|特价出发|惊喜特价|157|
|43|高德地图|快速出发|无|170|
|44|高德地图|惠享专车|精选车型 优质司机|185|
|45|高德地图|推荐|推荐专车|204|
|46|高德地图|推荐|特惠快车|206|
|47|高德地图|豪华型|undefined|136-139|","[{""app"": ""无"", ""category"": ""无"", ""mode"": ""聚优出租"", ""price"": True, ""price_min"": 0, ""price_max"": 100000, ""fast"": False}]",无,,无,,聚优出租,无,True,0,100000,11.99846292,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""AA出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""享道出行""}, {""优享型"": ""全民GO""}, {""优享型"": ""及时用车""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""旗妙出行""}, {""优享型"": ""曹操出行""}, {""优享型"": ""火箭出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""飞嘀打车""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""精选车型 优质司机""}, {""拼车"": ""特惠快车""}, {""推荐"": ""推荐专车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""惊喜特价""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""AA出行""}, {""经济型"": ""中交出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""叮叮出行""}, {""经济型"": ""国泰出租""}, {""经济型"": ""方舟行""}, {""经济型"": ""旗妙出行""}, {""经济型"": ""有序出行""}, {""经济型"": ""橄榄新出租""}, {""经济型"": ""聚优出行""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""聚的新出租""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""阳光出行""}, {""经济型"": ""鞍马出行""}, {""经济型"": ""鞍马聚的新出租""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,叫个聚优出租去生态公园北门，价格不限。,无,聚优出租,
用高德打聚优出租去奥体中心东侧，费用不超过90元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|57-57|
|1|高德地图|     |特惠快车|62-64|
|2|高德地图|经济型|南京出租|67|
|3|高德地图|经济型|旅程出租|67|
|4|高德地图|经济型|聚的出租车|67|
|5|高德地图|经济型|中交出行|67|
|6|高德地图|经济型|全民GO|67|
|7|高德地图|经济型|添猫出行|67|
|8|高德地图|经济型|深圳出租|67|
|9|高德地图|经济型|环旅出行|68|
|10|高德地图|经济型|K9用车|68|
|11|高德地图|经济型|旗妙出行|68|
|12|高德地图|经济型|斑马快跑|68|
|13|高德地图|经济型|东潮出行|68|
|14|高德地图|经济型|神州专车|69|
|15|高德地图|经济型|AA出行|69|
|16|高德地图|经济型|首汽约车|69|
|17|高德地图|经济型|星徽出行|69|
|18|高德地图|经济型|900出行|69|
|19|高德地图|经济型|T3出行|70|
|20|高德地图|经济型|方舟行|70|
|21|高德地图|经济型|橄榄新出租|70|
|22|高德地图|经济型|北京的士|70|
|23|高德地图|经济型|迪尔出行|71|
|24|高德地图|经济型|5U出行|71|
|25|高德地图|经济型|飞嘀打车|71|
|26|高德地图|经济型|阳光出行|71|
|27|高德地图|特快车|超值体验 更快上车|74|
|28|高德地图|出租车|车多应答快|85|
|29|高德地图|优享型|星徽出行|91|
|30|高德地图|优享型|风韵出行|91|
|31|高德地图|优享型|享道出行|91|
|32|高德地图|优享型|及时用车|92|
|33|高德地图|优享型|神州专车|93|
|34|高德地图|优享型|全民GO|93|
|35|高德地图|优享型|添猫出行|93|
|36|高德地图|优享型|环旅出行|94|
|37|高德地图|优享型|阳光出行|94|
|38|高德地图|轻享专车|静音不打扰 整洁无异味|101|
|39|高德地图|品质专车|静音不打扰 整洁无异味|112|
|40|高德地图|六座商务|宽敞空间 商务体验|124|
|41|高德地图|豪华型|车型高端 服务专业|134|
|42|高德地图|经济|首汽约车|146|
|43|高德地图|拼车|出租车拼车|161|
|44|高德地图|拼车|特惠快车|165|
|45|高德地图|特价出发|惊喜特价|180|
|46|高德地图|快速出发|无|198|
|47|高德地图|惠享专车|T3出行|218|
|48|高德地图|推荐|推荐专车|240|
|49|高德地图|豪华型|undefined|150-154|","[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""聚优出租"", ""price"": True, ""price_min"": 0, ""price_max"": 90, ""fast"": False}]",高德,,无,,聚优出租,无,True,0,90,8.157016277,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""享道出行""}, {""优享型"": ""全民GO""}, {""优享型"": ""及时用车""}, {""优享型"": ""星徽出行""}, {""优享型"": ""添猫出行""}, {""优享型"": ""环旅出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""阳光出行""}, {""优享型"": ""风韵出行""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""T3出行""}, {""拼车"": ""出租车拼车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""推荐专车""}, {""特价出发"": ""惊喜特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""5U出行""}, {""经济型"": ""900出行""}, {""经济型"": ""AA出行""}, {""经济型"": ""K9用车""}, {""经济型"": ""T3出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""中交出行""}, {""经济型"": ""全民GO""}, {""经济型"": ""北京的士""}, {""经济型"": ""南京出租""}, {""经济型"": ""斑马快跑""}, {""经济型"": ""方舟行""}, {""经济型"": ""旅程出租""}, {""经济型"": ""旗妙出行""}, {""经济型"": ""星徽出行""}, {""经济型"": ""橄榄新出租""}, {""经济型"": ""深圳出租""}, {""经济型"": ""添猫出行""}, {""经济型"": ""环旅出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""迪尔出行""}, {""经济型"": ""阳光出行""}, {""经济型"": ""飞嘀打车""}, {""经济型"": ""首汽约车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,用高德打聚优出租去奥体中心东侧，费用不超过90元。,无,聚优出租,
帮我预约聚优出租去高新开发区管委会，车价80左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|59-62|
|1|高德地图|     |特惠快车|65-66|
|2|高德地图|经济型|南京出租|71|
|3|高德地图|经济型|聚的出租车|72|
|4|高德地图|经济型|日初出行|72|
|5|高德地图|经济型|渔阳出行|72|
|6|高德地图|经济型|添猫出行|73|
|7|高德地图|经济型|J刻出行|73|
|8|高德地图|经济型|叮叮出行|73|
|9|高德地图|经济型|有序出行|73|
|10|高德地图|经济型|神州专车|74|
|11|高德地图|经济型|AA出行|74|
|12|高德地图|经济型|斑马快跑|74|
|13|高德地图|经济型|星徽出行|74|
|14|高德地图|经济型|奇华出行|74|
|15|高德地图|经济型|T3出行|74|
|16|高德地图|经济型|国泰出租|74|
|17|高德地图|经济型|曹操出行|75|
|18|高德地图|经济型|北京新出租|75|
|19|高德地图|经济型|飞嘀打车|75|
|20|高德地图|经济型|如祺出行|75|
|21|高德地图|特快车|超值体验 更快上车|78|
|22|高德地图|出租车|车多应答快|89|
|23|高德地图|优享型|妥妥E行|95|
|24|高德地图|优享型|腾飞出行|95|
|25|高德地图|优享型|风韵出行|96|
|26|高德地图|优享型|享道出行|96|
|27|高德地图|优享型|及时用车|96|
|28|高德地图|优享型|斑马快跑|97|
|29|高德地图|优享型|神州专车|97|
|30|高德地图|优享型|东潮出行|98|
|31|高德地图|优享型|全民GO|98|
|32|高德地图|优享型|首汽约车|98|
|33|高德地图|优享型|添猫出行|98|
|34|高德地图|优享型|阳光出行|99|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|108|
|36|高德地图|品质专车|静音不打扰 整洁无异味|116|
|37|高德地图|六座商务|宽敞空间 商务体验|130|
|38|高德地图|豪华型|车型高端 服务专业|140|
|39|高德地图|经济|首汽约车|156|
|40|高德地图|拼车|特惠快车|171|
|41|高德地图|特价出发|更多特价|189|
|42|高德地图|特价出发|惊喜特价|190|
|43|高德地图|快速出发|无|210|
|44|高德地图|惠享专车|曹操出行|227|
|45|高德地图|推荐|特惠快车|251|
|46|高德地图|豪华型|undefined|162-167|","[{""app"": ""无"", ""category"": ""无"", ""mode"": ""聚优出租"", ""price"": True, ""price_min"": 80, ""price_max"": 80, ""fast"": False}]",无,,无,,聚优出租,无,True,80,80,9.543347836,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""东潮出行""}, {""优享型"": ""享道出行""}, {""优享型"": ""全民GO""}, {""优享型"": ""及时用车""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""添猫出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""阳光出行""}, {""优享型"": ""风韵出行""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""曹操出行""}, {""拼车"": ""特惠快车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""惊喜特价""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""AA出行""}, {""经济型"": ""J刻出行""}, {""经济型"": ""T3出行""}, {""经济型"": ""北京新出租""}, {""经济型"": ""南京出租""}, {""经济型"": ""叮叮出行""}, {""经济型"": ""国泰出租""}, {""经济型"": ""奇华出行""}, {""经济型"": ""如祺出行""}, {""经济型"": ""斑马快跑""}, {""经济型"": ""日初出行""}, {""经济型"": ""星徽出行""}, {""经济型"": ""曹操出行""}, {""经济型"": ""有序出行""}, {""经济型"": ""添猫出行""}, {""经济型"": ""渔阳出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""飞嘀打车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,帮我预约聚优出租去高新开发区管委会，车价80左右。,无,聚优出租,
打个聚优出租去滨海工业园，用高德价格在70至90元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|56-58|
|1|高德地图|     |特惠快车|61-63|
|2|高德地图|经济型|腾飞新出租|67|
|3|高德地图|经济型|风韵出行|67|
|4|高德地图|经济型|享道出行|67|
|5|高德地图|经济型|及时用车|67|
|6|高德地图|经济型|橄榄新出租|68|
|7|高德地图|经济型|飞嘀打车|69|
|8|高德地图|经济型|神州专车|69|
|9|高德地图|经济型|AA出行|69|
|10|高德地图|经济型|东潮出行|69|
|11|高德地图|经济型|鞍马聚的新出租|69|
|12|高德地图|经济型|聚的出租车|70|
|13|高德地图|经济型|聚的新出租|71|
|14|高德地图|经济型|星徽出行|71|
|15|高德地图|经济型|中军出行|71|
|16|高德地图|特快车|超值体验 更快上车|78|
|17|高德地图|出租车|车多应答快|85|
|18|高德地图|优享型|风韵出行|90|
|19|高德地图|优享型|环旅出行|90|
|20|高德地图|优享型|曹操出行|90|
|21|高德地图|优享型|享道出行|91|
|22|高德地图|优享型|及时用车|92|
|23|高德地图|优享型|火箭出行|92|
|24|高德地图|优享型|旗妙出行|92|
|25|高德地图|优享型|神州专车|92|
|26|高德地图|优享型|AA出行|92|
|27|高德地图|优享型|中交出行|94|
|28|高德地图|优享型|优e出行特选|94|
|29|高德地图|优享型|星徽出行|94|
|30|高德地图|优享型|阳光出行|94|
|31|高德地图|轻享专车|静音不打扰 整洁无异味|102|
|32|高德地图|品质专车|静音不打扰 整洁无异味|110|
|33|高德地图|六座商务|宽敞空间 商务体验|121|
|34|高德地图|豪华型|车型高端 服务专业|136|
|35|高德地图|经济|首汽约车|147|
|36|高德地图|拼车|出租车拼车|162|
|37|高德地图|特价出发|更多特价|177|
|38|高德地图|特价出发|惊喜特价|179|
|39|高德地图|快速出发|无|197|
|40|高德地图|惠享专车|及时用车|219|
|41|高德地图|惠享专车|曹操出行|219|
|42|高德地图|推荐|特惠快车|240|
|43|高德地图|豪华型|undefined|153-157|","[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""聚优出租"", ""price"": True, ""price_min"": 70, ""price_max"": 90, ""fast"": False}]",高德,,无,,聚优出租,无,True,70,90,8.789920092,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""AA出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""享道出行""}, {""优享型"": ""优e出行特选""}, {""优享型"": ""及时用车""}, {""优享型"": ""旗妙出行""}, {""优享型"": ""星徽出行""}, {""优享型"": ""曹操出行""}, {""优享型"": ""火箭出行""}, {""优享型"": ""环旅出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""阳光出行""}, {""优享型"": ""风韵出行""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""及时用车""}, {""惠享专车"": ""曹操出行""}, {""拼车"": ""出租车拼车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""惊喜特价""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""AA出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""中军出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""及时用车""}, {""经济型"": ""星徽出行""}, {""经济型"": ""橄榄新出租""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""聚的新出租""}, {""经济型"": ""腾飞新出租""}, {""经济型"": ""鞍马聚的新出租""}, {""经济型"": ""风韵出行""}, {""经济型"": ""飞嘀打车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,打个聚优出租去滨海工业园，用高德价格在70至90元。,无,聚优出租,
用聚优出租去机场第二航站楼，费用控制在150元内。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|55-56|
|1|高德地图|     |特惠快车|60-61|
|2|高德地图|经济型|易至出行|65|
|3|高德地图|经济型|鞍马出行|65|
|4|高德地图|经济型|聚的出租车|65|
|5|高德地图|经济型|日初出行|66|
|6|高德地图|经济型|全民GO|66|
|7|高德地图|经济型|渔阳出行|66|
|8|高德地图|经济型|添猫出行|67|
