query,车型大类列表,车辆类型列表,车型大类,车辆类型,大类正确答案,小类正确答案
打车去深圳会展中心,"['特快车', '六座商务', '豪华型', '优享型', '轻享专车', '经济型', '出租车']","['首汽约车', '妥妥E行', '特惠快车', '斑马快跑', '5U出行', '享道出行', '如祺出行', 'T3出行', '曹操出行', '深圳出租', '聚的新出租', '飞嘀打车', '全民GO', '极速拼车', '中交出行', '及时用车', '阳光出行', '东潮出行', '神州专车']",[],['曹操出行'],[],['曹操出行']
打车去民乐地铁站,"['特快车', '六座商务', '豪华型', '优享型', '轻享专车', '经济型', '出租车']","['首汽约车', '妥妥E行', '中军出行', '特惠快车', '斑马快跑', '5U出行', '享道出行', '如祺出行', 'T3出行', '曹操出行', '深圳出租', '聚的新出租', '飞嘀打车', '全民GO', '极速拼车', '中交出行', '及时用车', '阳光出行', '东潮出行', '神州专车']",[],['斑马快跑'],[],['斑马快跑']
打极速拼车和六座豪华车去深业上城,"['特快车', '六座商务', '惠享专车', '豪华型', '优享型', '轻享专车', '经济型', '出租车']","['首汽约车', '妥妥E行', '中军出行', '特惠快车', '斑马快跑', '5U出行', '享道出行', '如祺出行', 'T3出行', '曹操出行', '深圳出租', '聚的新出租', '飞嘀打车', '全民GO', '极速拼车', '中交出行', '及时用车', '阳光出行', '东潮出行', '神州专车']",[],['极速拼车'],[],['极速拼车']
打车去宝安机场,"['六座商务', '豪华型', '优享型', '经济型', '出租车']","['首汽约车', '妥妥E行', '中军出行', '特惠快车', '斑马快跑', '5U出行', '享道出行', '如祺出行', 'T3出行', '曹操出行', '深圳出租', '聚的新出租', '飞嘀打车', '全民GO', '中交出行', '及时用车', '阳光出行', '东潮出行', '神州专车', '远途极速拼']",[],['特惠快车，远途极速拼'],[],['特惠快车']
打车去深圳东站,"['特快车', '六座商务', '豪华型', '优享型', '轻享专车', '经济型', '出租车']","['首汽约车', '妥妥E行', '中军出行', '特惠快车', '斑马快跑', '5U出行', '享道出行', '如祺出行', 'T3出行', '曹操出行', '深圳出租', '聚的新出租', '飞嘀打车', '全民GO', '极速拼车', '中交出行', '及时用车', '阳光出行', '东潮出行', '神州专车']",['六座商务'],['神州专车'],['六座商务'],['神州专车']
打车去民治地铁口,"['特快车', '六座商务', '惠享专车', '豪华型', '优享型', '轻享专车', '经济型', '出租车']","['首汽约车', '妥妥E行', '中军出行', '特惠快车', '斑马快跑', '5U出行', '享道出行', '如祺出行', 'T3出行', '曹操出行', '深圳出租', '聚的新出租', '飞嘀打车', '全民GO', '极速拼车', '中交出行', '及时用车', '阳光出行', '东潮出行', '神州专车']",['惠享专车，轻享专车'],['神州专车'],['惠享专车，轻享专车'],['神州专车']
打车去大梅沙滨海公园,"['舒适', '拼车', '快速', '六座', '推荐', '特价']","['极速拼车', '六座豪华车', '宽敞好车', '如祺出行', '花小猪外接版', '曹操出行', '滴滴快车', '滴滴轻享', '滴滴专车', '滴滴豪华车', '特惠快车', '六座专车', '滴滴特快', '花小猪正价版', '出租车']",[],[],[],[]
打车去福田CBD,"['舒适', '快速', '六座', '推荐', '特价']","['极速拼车', '六座豪华车', '宽敞好车', '如祺出行', '花小猪外接版', '曹操出行', '滴滴快车', '滴滴轻享', '滴滴专车', '滴滴豪华车', '特惠快车', '六座专车', '滴滴特快', '花小猪正价版', '出租车']",[],[],[],[]
打车从动物园到国际会展中心,"['舒适', '拼车', '快速', '六座', '推荐', '特价']","['极速拼车', '六座豪华车', '如祺出行', '宽敞好车', '花小猪外接版', '曹操出行', '滴滴快车', '滴滴轻享', '滴滴专车', '滴滴豪华车', '特惠快车', '六座专车', '滴滴特快', '花小猪正价版', '出租车']",[],[],[],[]
打车去卓越后海,"['舒适', '拼车', '快速', '更多', '六座', '推荐', '特价']","['极速拼车', '六座豪华车', '滴滴快车', '滴滴专车', '宠物出行', '六座专车', '特惠快车', '更多品牌', '滴滴特快', '滴滴豪华车', '出租车']",[],[],[],[]
打车去小梅沙,"['舒适', '拼车', '快速', '更多', '六座', '推荐', '特价']","['极速拼车', '六座豪华车', '滴滴快车', '滴滴专车', '宠物出行', '六座专车', '特惠快车', '更多品牌', '滴滴特快', '滴滴豪华车', '出租车']",['特价'],['特惠快车'],['特价'],['特惠快车']
打车去深圳北站,"['舒适', '快速', '六座', '推荐', '特价']","['极速拼车', '六座豪华车', '如祺出行', '宽敞好车', '花小猪外接版', '曹操出行', '滴滴快车', '滴滴轻享', '滴滴专车', '滴滴豪华车', '特惠快车', '六座专车', '滴滴特快', '花小猪正价版', '出租车']",[],['滴滴快车，特惠快车，滴滴特快'],['快速'],['滴滴快车，特惠快车，滴滴特快']
打车去大梅沙滨海公园,"['特快车', '六座商务', '豪华型', '优享型', '轻享专车', '经济型', '出租车']","['妥妥E行', '中军出行', '特惠快车', '斑马快跑', '5U出行', '享道出行', '如祺出行', 'T3出行', '曹操出行', '深圳出租', '聚的新出租', '飞嘀打车', '全民GO', '中交出行', '及时用车', '阳光出行', '东潮出行', '神州专车', '远途极速拼']",[],[],[],[]
打车去民乐,"['特快车', '六座商务', '惠享专车', '豪华型', '优享型', '轻享专车', '经济型', '出租车']","['首汽约车', '妥妥E行', '中军出行', '特惠快车', '斑马快跑', '5U出行', '享道出行', '如祺出行', 'T3出行', '曹操出行', '深圳出租', '聚的新出租', '飞嘀打车', '全民GO', '极速拼车', '中交出行', '及时用车', '阳光出行', '东潮出行', '神州专车']",[],[],[],[]
我要从家/公司去动物园,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['聚优出租', '首汽约车', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '腾飞新出租', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",['特快车'],['特惠快车'],['特快车'],['特惠快车']
麻烦帮我打专车到海底捞,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['聚优出租', '首汽约车', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', '有序出行', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '365约车', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",['品质专车'],['神州专车'],['品质专车'],['神州专车']
给我打个六座车去朱三家龙虾吃饭,[],[],['六座'],[],[],[]
能帮我打个拼车去景枫中心吗,"['品质专车', '六座商务', '优享型', '经济型', '出租车']","['聚优出租', '首汽约车', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', '有序出行', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '腾飞新出租', '鞍马出行', '迪尔出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",[],['极速拼车'],[],['极速拼车']
请帮我叫个专车,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['首汽约车', '聚优出租', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '365约车', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '风韵出行', '神州专车', '环旅出行']",['品质专车'],['神州专车'],['品质专车'],['神州专车']
帮我打出租车去机场费用要100以内,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['首汽约车', '聚优出租', '叮叮出行', '特惠快车', '享道出行', '鞍马聚的新出租', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '腾飞新出租', '365约车', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",['出租车'],['聚优出租，腾飞新出租，南京出租，鞍马聚的新出租'],['出租车'],"['聚优出租', '南京出租', '腾飞新出租', '鞍马聚的新出租']"
请帮我打出租车去银杏湖乐园打车费要90左右,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['首汽约车', '聚优出租', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '365约车', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",['出租车'],['聚优出租，南京出租，鞍马聚的新出租'],['出租车'],"['聚优出租', '南京出租', '鞍马聚的新出租']"
五个人准备去水游城,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['聚优出租', '首汽约车', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', '有序出行', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '365约车', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",[],[],[],[]
打个出租车去省医院,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['首汽约车', '聚优出租', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', '有序出行', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞新出租', '腾飞出行', '365约车', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",['出租车'],['聚优出租，腾飞新出租，南京出租，鞍马聚的新出租'],['出租车'],"['聚优出租', '南京出租', '腾飞新出租', '鞍马聚的新出租']"
帮我叫个不超过30的t3车到情侣园,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['聚优出租', '首汽约车', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', '有序出行', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '腾飞新出租', '365约车', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",[],['T3出行'],[],['T3出行']
帮我打个拼车回家,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['享道出行', '聚优出租', '鞍马聚的新出租', '及时用车', '南京出租', '叮叮出行', '首汽约车', '腾飞出行', '腾飞新出租', 'T3出行', '曹操出行', '旅程约车', '风韵出行', '鞍马出行', '神州专车', '迪尔出行', '环旅出行', '阳光出行']",[],[],[],[]
打个拼车去夫子庙/下关火车主题公园/阅江楼/牛首山,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['品质专车', '聚优出租', '首汽约车', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '腾飞新出租', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",[],['极速拼车'],[],['极速拼车']
帮我打个车回家,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['聚优出租', '首汽约车', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', '有序出行', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '腾飞新出租', '365约车', '鞍马出行', '迪尔出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",[],[],[],[]
给我打个200块钱以下的车去句容/翠林水城,[],[],[],[],[],[]
我想打车去科技馆,[],[],[],[],[],[]
给我打个出租车去南京站,[],[],[],['出租车'],[],[]
打车去民乐,"['特快车', '六座商务', '惠享专车', '豪华型', '优享型', '轻享专车', '经济型', '出租车']","['首汽约车', '妥妥E行', '中军出行', '特惠快车', '斑马快跑', '5U出行', '享道出行', '如祺出行', 'T3出行', '曹操出行', '深圳出租', '聚的新出租', '飞嘀打车', '全民GO', '极速拼车', '中交出行', '及时用车', '阳光出行', '东潮出行', '神州专车']",[],[],[],[]
打车去大梅沙滨海公园,"['特快车', '六座商务', '豪华型', '优享型', '轻享专车', '经济型', '出租车']","['妥妥E行', '中军出行', '特惠快车', '斑马快跑', '5U出行', '享道出行', '如祺出行', 'T3出行', '曹操出行', '深圳出租', '聚的新出租', '飞嘀打车', '全民GO', '中交出行', '及时用车', '阳光出行', '东潮出行', '神州专车', '远途极速拼']",[],[],[],[]
